tileset,local_id,category,mc_block,Y-rule,pz_name,tsx_tile_id
advertising_01,0,ignore,,,advertising_01_0,0
advertising_01,2,ignore,,,advertising_01_2,26
advertising_01,3,ignore,,,advertising_01_3,37
advertising_01,4,ignore,,,advertising_01_4,48
advertising_01,5,ignore,,,advertising_01_5,57
advertising_01,6,ignore,,,advertising_01_6,66
advertising_01,7,ignore,,,advertising_01_7,75
advertising_01,8,ignore,,,advertising_01_8,82
advertising_01,9,ignore,,,advertising_01_9,91
advertising_01,10,ignore,,,advertising_01_10,2
advertising_01,11,ignore,,,advertising_01_11,11
advertising_01,12,ignore,,,advertising_01_12,18
advertising_01,13,ignore,,,advertising_01_13,19
advertising_01,14,ignore,,,advertising_01_14,20
advertising_01,15,ignore,,,advertising_01_15,21
advertising_01,16,ignore,,,advertising_01_16,22
advertising_01,17,ignore,,,advertising_01_17,23
advertising_01,18,ignore,,,advertising_01_18,24
advertising_01,19,ignore,,,advertising_01_19,25
advertising_01,20,ignore,,,advertising_01_20,27
advertising_01,21,ignore,,,advertising_01_21,28
advertising_01,22,ignore,,,advertising_01_22,29
advertising_01,23,ignore,,,advertising_01_23,30
advertising_01,24,ignore,,,advertising_01_24,31
advertising_01,25,ignore,,,advertising_01_25,32
advertising_01,26,ignore,,,advertising_01_26,33
advertising_01,27,ignore,,,advertising_01_27,34
advertising_01,28,ignore,,,advertising_01_28,35
advertising_01,29,ignore,,,advertising_01_29,36
advertising_01,30,ignore,,,advertising_01_30,38
advertising_01,31,ignore,,,advertising_01_31,39
advertising_01,32,ignore,,,advertising_01_32,40
advertising_01,33,ignore,,,advertising_01_33,41
advertising_01,34,ignore,,,advertising_01_34,42
advertising_01,35,ignore,,,advertising_01_35,43
advertising_01,36,ignore,,,advertising_01_36,44
advertising_01,37,ignore,,,advertising_01_37,45
advertising_01,38,ignore,,,advertising_01_38,46
advertising_01,39,ignore,,,advertising_01_39,47
advertising_01,40,ignore,,,advertising_01_40,49
advertising_01,41,ignore,,,advertising_01_41,50
advertising_01,42,ignore,,,advertising_01_42,51
advertising_01,43,ignore,,,advertising_01_43,52
advertising_01,44,ignore,,,advertising_01_44,53
advertising_01,45,ignore,,,advertising_01_45,54
advertising_01,48,ignore,,,advertising_01_48,55
advertising_01,49,ignore,,,advertising_01_49,56
advertising_01,50,ignore,,,advertising_01_50,58
advertising_01,51,ignore,,,advertising_01_51,59
advertising_01,52,ignore,,,advertising_01_52,60
advertising_01,53,ignore,,,advertising_01_53,61
advertising_01,56,ignore,,,advertising_01_56,62
advertising_01,57,ignore,,,advertising_01_57,63
advertising_01,58,ignore,,,advertising_01_58,64
advertising_01,59,ignore,,,advertising_01_59,65
advertising_01,60,ignore,,,advertising_01_60,67
advertising_01,61,ignore,,,advertising_01_61,68
advertising_01,64,ignore,,,advertising_01_64,69
advertising_01,65,ignore,,,advertising_01_65,70
advertising_01,66,ignore,,,advertising_01_66,71
advertising_01,67,ignore,,,advertising_01_67,72
advertising_01,68,ignore,,,advertising_01_68,73
advertising_01,69,ignore,,,advertising_01_69,74
advertising_01,72,ignore,,,advertising_01_72,76
advertising_01,73,ignore,,,advertising_01_73,77
advertising_01,74,ignore,,,advertising_01_74,78
advertising_01,75,ignore,,,advertising_01_75,79
advertising_01,76,ignore,,,advertising_01_76,80
advertising_01,77,ignore,,,advertising_01_77,81
advertising_01,80,ignore,,,advertising_01_80,83
advertising_01,81,ignore,,,advertising_01_81,84
advertising_01,82,ignore,,,advertising_01_82,85
advertising_01,83,ignore,,,advertising_01_83,86
advertising_01,84,ignore,,,advertising_01_84,87
advertising_01,85,ignore,,,advertising_01_85,88
advertising_01,88,ignore,,,advertising_01_88,89
advertising_01,89,ignore,,,advertising_01_89,90
advertising_01,90,ignore,,,advertising_01_90,92
advertising_01,91,ignore,,,advertising_01_91,93
advertising_01,92,ignore,,,advertising_01_92,94
advertising_01,93,ignore,,,advertising_01_93,95
advertising_01,96,ignore,,,advertising_01_96,96
advertising_01,97,ignore,,,advertising_01_97,97
advertising_01,98,ignore,,,advertising_01_98,98
advertising_01,99,ignore,,,advertising_01_99,99
advertising_01,100,ignore,,,advertising_01_100,3
advertising_01,101,ignore,,,advertising_01_101,4
advertising_01,104,ignore,,,advertising_01_104,5
advertising_01,105,ignore,,,advertising_01_105,6
advertising_01,106,ignore,,,advertising_01_106,7
advertising_01,107,ignore,,,advertising_01_107,8
advertising_01,108,ignore,,,advertising_01_108,9
advertising_01,109,ignore,,,advertising_01_109,10
advertising_01,112,ignore,,,advertising_01_112,12
advertising_01,113,ignore,,,advertising_01_113,13
advertising_01,114,ignore,,,advertising_01_114,14
advertising_01,115,ignore,,,advertising_01_115,15
